Time [ms]:	File:	Number of lines:
616	o0203a.lode-5.txt	153955
252	o0203a.lode-6.txt	60414
181	o0203a.lode-7.txt	41935
251	o0203a.lode-8.txt	54681
303	o0206a.lode-1.txt	70171
405	o0206a.lode-2.txt	102097
463	o0206a.lode-3.txt	120955
795	o0206a.lode-4.txt	204460
659	o0206a.lode-5.txt	163433
302	o0206a.lode-6.txt	74023
230	o0206a.lode-7.txt	55547
246	o0206a.lode-8.txt	59918
226	o0208b.lode-1.txt	51779
283	o0208b.lode-2.txt	69814
493	o0208b.lode-3.txt	102834
923	o0208b.lode-4.txt	239971
612	o0208b.lode-5.txt	160892
152	o0208b.lode-6.txt	37718
120	o0208b.lode-7.txt	27522
217	o0208b.lode-8.txt	51112
292	o0209b.lode-1.txt	69906
386	o0209b.lode-2.txt	95649
657	o0209b.lode-3.txt	131312
1101	o0209b.lode-4.txt	288993
728	o0209b.lode-5.txt	186818
190	o0209b.lode-6.txt	42425
195	o0209b.lode-7.txt	44600
381	o0209b.lode-8.txt	96868
205	o0224a.lode-1.txt	44155
247	o0224a.lode-2.txt	57264
322	o0224a.lode-3.txt	77538
669	o0224a.lode-4.txt	168376
421	o0224a.lode-5.txt	110153
138	o0224a.lode-6.txt	31999
118	o0224a.lode-7.txt	26119
140	o0224a.lode-8.txt	31606
219	o0225a.lode-1.txt	50616
309	o0225a.lode-2.txt	67984
353	o0225a.lode-3.txt	88695
870	o0225a.lode-4.txt	188966
492	o0225a.lode-5.txt	124280
146	o0225a.lode-6.txt	33185
110	o0225a.lode-7.txt	24332
138	o0225a.lode-8.txt	32072
401	o0225b.lode-1.txt	104471
611	o0225b.lode-2.txt	160491
652	o0225b.lode-3.txt	174047
1069	o0225b.lode-4.txt	261782
754	o0225b.lode-5.txt	202363
371	o0225b.lode-6.txt	92781
292	o0225b.lode-7.txt	71896
338	o0225b.lode-8.txt	84279
359	o0226b.lode-1.txt	90872
532	o0226b.lode-2.txt	138057
599	o0226b.lode-3.txt	156059
1044	o0226b.lode-4.txt	253740
736	o0226b.lode-5.txt	195190
343	o0226b.lode-6.txt	86567
266	o0226b.lode-7.txt	62203
319	o0226b.lode-8.txt	74350
210	o0227a.lode-1.txt	48739
270	o0227a.lode-2.txt	65590
326	o0227a.lode-3.txt	79455
697	o0227a.lode-4.txt	155013
430	o0227a.lode-5.txt	106226
142	o0227a.lode-6.txt	32969
115	o0227a.lode-7.txt	25711
145	o0227a.lode-8.txt	34464
318	o0227b.lode-1.txt	79997
437	o0227b.lode-2.txt	113370
505	o0227b.lode-3.txt	133740
905	o0227b.lode-4.txt	241286
787	o0227b.lode-5.txt	176100
296	o0227b.lode-6.txt	75970
230	o0227b.lode-7.txt	56814
238	o0227b.lode-8.txt	58361
191	o0228a.lode-1.txt	45715
252	o0228a.lode-2.txt	62790
341	o0228a.lode-3.txt	81334
660	o0228a.lode-4.txt	172885
441	o0228a.lode-5.txt	109856
112	o0228a.lode-6.txt	26203
90	o0228a.lode-7.txt	18063
104	o0228a.lode-8.txt	22554
422	o0228b.lode-1.txt	73607
404	o0228b.lode-2.txt	102036
418	o0228b.lode-3.txt	107552
573	o0228b.lode-4.txt	151776
432	o0228b.lode-5.txt	108129
190	o0228b.lode-6.txt	47933
183	o0228b.lode-7.txt	43040
266	o0228b.lode-8.txt	65525
186	o0230a.lode-1.txt	43982
232	o0230a.lode-2.txt	58075
328	o0230a.lode-3.txt	78634
810	o0230a.lode-4.txt	172663
430	o0230a.lode-5.txt	110950
119	o0230a.lode-6.txt	29438
100	o0230a.lode-7.txt	21183
115	o0230a.lode-8.txt	27379
293	o0230b.lode-1.txt	71986
384	o0230b.lode-2.txt	98117
520	o0230b.lode-3.txt	129035
1040	o0230b.lode-4.txt	271633
726	o0230b.lode-5.txt	186164
205	o0230b.lode-6.txt	50507
147	o0230b.lode-7.txt	34454
186	o0230b.lode-8.txt	44807
246	o0231a.lode-1.txt	57553
332	o0231a.lode-2.txt	79580
419	o0231a.lode-3.txt	97466
729	o0231a.lode-4.txt	189743
610	o0231a.lode-5.txt	126674
155	o0231a.lode-6.txt	35115
110	o0231a.lode-7.txt	24117
104	o0231a.lode-8.txt	26392
292	o0231b.lode-1.txt	70612
403	o0231b.lode-2.txt	102585
533	o0231b.lode-3.txt	141657
1136	o0231b.lode-4.txt	305076
921	o0231b.lode-5.txt	222230
277	o0231b.lode-6.txt	65873
162	o0231b.lode-7.txt	36462
169	o0231b.lode-8.txt	42141
384	o0232a.lode-1.txt	90762
425	o0232a.lode-2.txt	106304
499	o0232a.lode-3.txt	124109
757	o0232a.lode-4.txt	201526
649	o0232a.lode-5.txt	167055
337	o0232a.lode-6.txt	83257
245	o0232a.lode-7.txt	59540
281	o0232a.lode-8.txt	67580
358	o0232b.lode-1.txt	90401
510	o0232b.lode-2.txt	133378
630	o0232b.lode-3.txt	157467
1012	o0232b.lode-4.txt	253436
835	o0232b.lode-5.txt	207865
399	o0232b.lode-6.txt	96690
240	o0232b.lode-7.txt	61865
269	o0232b.lode-8.txt	64758
205	o0233a.lode-1.txt	46441
257	o0233a.lode-2.txt	62777
299	o0233a.lode-3.txt	69684
350	o0233a.lode-4.txt	87643
395	o0233a.lode-5.txt	56908
103	o0233a.lode-6.txt	19765
94	o0233a.lode-7.txt	18386
125	o0233a.lode-8.txt	29600
401	o0233b.lode-1.txt	90865
502	o0233b.lode-2.txt	127305
667	o0233b.lode-3.txt	171333
1214	o0233b.lode-4.txt	322079
851	o0233b.lode-5.txt	194020
